vessel_id,mmsi,ship_name,flag,vessel_type,geartype,hours,entry_ts,exit_ts,is_china_flag,is_china_mmsi,is_known_ccg,has_no_name,suspicious_score
dcae00672-2730-4dfc-a464-c05cade9930a,413701380,JINTAI198,CHN,CARGO,CARGO,5,2025-12-30T21:00:00Z,2025-12-31T01:00:00Z,True,True,False,False,0.5
6b5f7ec44-408d-01d7-129f-55cb57050e73,413896584,TIELONG68965-84-99%,CHN,GEAR,GEAR,9,2025-12-27T00:00:00Z,2025-12-27T08:00:00Z,True,True,False,False,0.5
c78ada8f9-91b1-4efc-1201-9659f8a5ae12,413072000,XIN CHI WAN,CHN,CARGO,CARGO,5,2025-12-30T20:00:00Z,2025-12-31T00:00:00Z,True,True,False,False,0.5
677c796ff-f0b2-637b-97d3-61fe56e3160f,413897938,TIELONG68979-38-83%,CHN,GEAR,GEAR,64,2025-12-27T00:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
9825cc982-2d84-3646-affa-7ae48486ad0f,413149522,TIELONG61495-22-99%,CHN,GEAR,GEAR,33,2025-12-27T12:00:00Z,2025-12-29T17:00:00Z,True,True,False,False,0.5
ff2fd55d2-2cfd-20aa-b29a-b8f9d29264da,413444950,YUN XIANG 9,CHN,OTHER,OTHER,3,2025-12-28T12:00:00Z,2025-12-28T14:00:00Z,True,True,False,False,0.5
222157503-3619-a720-32a2-5a1a4e8ddf87,413368140,SHUN DA XIANG,CHN,CARGO,CARGO,5,2025-12-29T09:00:00Z,2025-12-29T13:00:00Z,True,True,False,False,0.5
edf90afc1-122b-fd7c-f388-5816093bc6dd,413630110,KUN LUN YOU 201,CHN,OTHER,OTHER,11,2025-12-31T00:00:00Z,2025-12-31T10:00:00Z,True,True,False,False,0.5
f98e4ab02-22fa-961f-8432-bea592223d9c,413512590,HONG XIANG ZHUO YUE,CHN,CARGO,CARGO,5,2025-12-29T01:00:00Z,2025-12-29T05:00:00Z,True,True,False,False,0.5
59d41b223-30d0-108d-c37c-abfe3cc12a4a,413347180,REN JIAN SHI DAI,CHN,OTHER,OTHER,5,2025-12-28T00:00:00Z,2025-12-28T04:00:00Z,True,True,False,False,0.5
c915ea6fc-c064-9acb-dd7f-4cd6353f6c0f,413581520,SHENG SHUN 67,CHN,OTHER,OTHER,2,2025-12-29T19:00:00Z,2025-12-29T20:00:00Z,True,True,False,False,0.5
fdb22b2e8-8541-ee9b-2b66-c9fb8dfacca0,413177934,TIELONG61779-34-99%,CHN,GEAR,GEAR,16,2025-12-27T01:00:00Z,2025-12-29T19:00:00Z,True,True,False,False,0.5
6a0a4da4c-c1fa-234e-888b-b2724ff1fa2b,413225230,JIE HANG 16,CHN,CARGO,CARGO,3,2025-12-28T02:00:00Z,2025-12-28T04:00:00Z,True,True,False,False,0.5
4f0e9c2dd-d208-7c76-5109-c987de6be081,413586980,GUO SHUN 28,CHN,CARGO,CARGO,3,2025-12-31T06:00:00Z,2025-12-31T08:00:00Z,True,True,False,False,0.5
1684616c2-2e63-8428-08dd-c50264e6c65b,413616201,MINLIANYU60162-1-83%,CHN,GEAR,GEAR,6,2025-12-29T09:00:00Z,2026-01-01T09:00:00Z,True,True,False,False,0.5
2062abd0e-ec8f-6557-b38e-4127ecc7bdc7,413442990,JIA HANG 003,CHN,CARGO,CARGO,9,2025-12-28T04:00:00Z,2025-12-28T12:00:00Z,True,True,False,False,0.5
f6591f953-3079-eb90-9254-2182dda174fd,413158095,TIELONG61580-95-99%,CHN,GEAR,GEAR,56,2025-12-27T02:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
a62ccb706-653d-9f5a-2a61-1ea8b86f6d55,413458960,HONG GUANG 2,CHN,OTHER,OTHER,4,2025-12-28T11:00:00Z,2025-12-28T14:00:00Z,True,True,False,False,0.5
a79d4857d-d322-f680-d76d-6b0f40625617,412452934,,CHN,FISHING,TRAWLERS,1,2025-12-28T10:00:00Z,2025-12-28T10:00:00Z,True,False,False,True,0.5
eaf52dc0b-b6d2-4b19-da90-15616f56071f,413177934,TIELONG61779-34-50%,CHN,GEAR,GEAR,19,2025-12-30T21:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
01646759a-a15d-f845-216f-6ea4bbfeb42f,413303260,HONG YAN,CHN,OTHER,OTHER,4,2025-12-28T22:00:00Z,2025-12-29T01:00:00Z,True,True,False,False,0.5
15a392527-77b5-0591-6ab8-a7f7872180c3,413445550,SHENGJIE1,CHN,CARGO,CARGO,3,2025-12-27T23:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
e0b19251e-e24a-7b1e-1534-b6cab66cc656,413021050,BEI HAI JIU 113,CHN,OTHER,OTHER,5,2025-12-29T10:00:00Z,2025-12-29T14:00:00Z,True,True,False,False,0.5
370342039-9dfd-2986-dd5c-d21bb605d1b6,413549070,DONGSHENGHANHAI,CHN,CARGO,CARGO,6,2026-01-01T12:00:00Z,2026-01-01T17:00:00Z,True,True,False,False,0.5
63ff9d92d-df55-0526-a3cd-e517f5c6da46,413504160,XIN HONG XIANG 86,CHN,CARGO,CARGO,8,2025-12-27T00:00:00Z,2025-12-31T05:00:00Z,True,True,False,False,0.5
51bfeb699-93b0-205b-0c66-efd2de0750d3,413704320,AN TONG TANG SHAN,CHN,OTHER,OTHER,6,2025-12-28T22:00:00Z,2025-12-29T03:00:00Z,True,True,False,False,0.5
6df1f9698-8a27-8c2e-d832-933151134d6b,413897757,TIELONG68977-57-94%,CHN,GEAR,GEAR,64,2025-12-27T00:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
04a38be6c-c49a-5cca-ab1e-3438fa75895d,413898336,TIELONG68983-36-77%,CHN,GEAR,GEAR,7,2025-12-27T00:00:00Z,2025-12-27T08:00:00Z,True,True,False,False,0.5
e00c99f6f-fafc-467c-62b8-299dc66c8665,413379990,JIU LONG 5,CHN,OTHER,OTHER,2,2025-12-27T05:00:00Z,2025-12-27T06:00:00Z,True,True,False,False,0.5
11b4a87a7-7136-1e6b-8770-3fc6532a20f4,413225570,SAN SHUI 808,CHN,CARGO,CARGO,5,2025-12-27T00:00:00Z,2025-12-27T04:00:00Z,True,True,False,False,0.5
4d0a1693c-c985-7963-c1d1-8557df9a928a,413888168,33168,CHN,FISHING,FISHING,7,2025-12-27T21:00:00Z,2025-12-28T03:00:00Z,True,True,False,False,0.5
438154725-5953-a456-c27a-7d322d54cfcd,413534920,FEI HONG DA 17,CHN,OTHER,OTHER,6,2025-12-27T17:00:00Z,2025-12-27T22:00:00Z,True,True,False,False,0.5
e55b09b35-5214-35bc-d577-77e7daba999f,413333693,XH,CHN,FISHING,SET_GILLNETS,3,2025-12-30T08:00:00Z,2025-12-30T14:00:00Z,True,True,False,False,0.5
0e827d0f6-630a-5ba8-018a-36b63f33f32d,413570990,JINHANGYOU68,CHN,OTHER,OTHER,5,2026-01-01T14:00:00Z,2026-01-01T18:00:00Z,True,True,False,False,0.5
04af8a41b-b299-7150-df8c-75bd530f8382,413897756,TIELONG68977-56-36%,CHN,GEAR,GEAR,28,2025-12-27T00:00:00Z,2025-12-30T23:00:00Z,True,True,False,False,0.5
10eef2945-5dcf-72cc-8be3-52c7f8439b32,413340960,XIN RONG66,CHN,CARGO,CARGO,7,2025-12-28T11:00:00Z,2025-12-28T17:00:00Z,True,True,False,False,0.5
515e5dc9f-f30c-ca1a-047f-137f38299eb7,413497690,HUA SHENG 88,CHN,CARGO,CARGO,5,2025-12-29T18:00:00Z,2025-12-29T22:00:00Z,True,True,False,False,0.5
65f8f4b67-783f-2ad1-2444-d7bf46bf5984,413263410,CHANG HANG XI WANG,CHN,OTHER,OTHER,7,2025-12-27T08:00:00Z,2025-12-27T14:00:00Z,True,True,False,False,0.5
a95da2081-1f11-5369-2a20-b67c71799d9e,413014184,MINLIANYU61418-20,CHN,GEAR,GEAR,34,2025-12-27T02:00:00Z,2025-12-29T04:00:00Z,True,True,False,False,0.5
49ca6dd73-30f4-f32c-856f-0e8109c1120c,413622470,BAO HONG 17,CHN,CARGO,CARGO,10,2025-12-29T11:00:00Z,2025-12-29T20:00:00Z,True,True,False,False,0.5
f9194b983-32e9-cc9b-d8ed-8f4d5a29ac2f,412503356,,CHN,FISHING,FISHING,7,2025-12-30T02:00:00Z,2025-12-30T08:00:00Z,True,False,False,True,0.5
4bbf493b5-5a78-bdc5-8d9f-75343cc22650,413300180,XING RONG YU LIANG,CHN,CARGO,CARGO,5,2025-12-28T19:00:00Z,2025-12-28T23:00:00Z,True,True,False,False,0.5
a4d920a11-1c87-f5c5-a671-14f7ab005db8,413251850,FENGXIANG79,CHN,CARGO,CARGO,3,2025-12-30T08:00:00Z,2025-12-30T10:00:00Z,True,True,False,False,0.5
3f38cebad-d30d-e34a-88f3-0e4ea7b37875,413187043,TIELONG61870-43-99%,CHN,GEAR,GEAR,74,2025-12-27T00:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
ec2a15f93-37e6-1ce4-9e7f-781d066503f9,413173725,TEILONG61737-25-94%,CHN,GEAR,GEAR,4,2026-01-01T01:00:00Z,2026-01-01T08:00:00Z,True,True,False,False,0.5
82eb63f54-4945-2ba0-37a0-90ee9c9dbf13,413411330,BAI TONG 8,CHN,OTHER,OTHER,4,2025-12-29T01:00:00Z,2025-12-29T04:00:00Z,True,True,False,False,0.5
5045a4c6f-ff19-5089-887d-c9da32bc4178,412449810,,CHN,OTHER,OTHER,1,2025-12-29T05:00:00Z,2025-12-29T05:00:00Z,True,False,False,True,0.5
495faed5d-df5e-c4c0-f63a-1a515ea53b75,413481680,ZHONG GU 20,CHN,CARGO,CARGO,4,2025-12-31T00:00:00Z,2025-12-31T03:00:00Z,True,True,False,False,0.5
5cb38a05f-f3ee-00c5-b6a6-cbc8abdcab1c,413337240,XIN MING ZHOU96,CHN,CARGO,CARGO,4,2025-12-27T04:00:00Z,2025-12-27T07:00:00Z,True,True,False,False,0.5
a51147043-395b-3dc7-9c22-7baf40fcc4ee,413556990,ZHEN YUAN 9,CHN,CARGO,CARGO,3,2026-01-01T21:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
6dea97aed-d351-4a2a-e4bf-f82ad2cd005c,413615760,GUO HAI XIANG,CHN,OTHER,OTHER,3,2025-12-29T14:00:00Z,2025-12-29T16:00:00Z,True,True,False,False,0.5
bf3688f24-4249-4e6a-8089-2093e6bd50d6,413707350,YAN ZHAN 67,CHN,OTHER,OTHER,6,2025-12-27T01:00:00Z,2025-12-27T06:00:00Z,True,True,False,False,0.5
1e34325f9-96f4-57ab-476d-eac5ffe24bcf,413897935,TIELONG68979-35-99%,CHN,GEAR,GEAR,65,2025-12-27T00:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
9e0770b9a-ae4d-a9e5-8748-398d7977261c,413665621,60815-2-99%,CHN,GEAR,GEAR,5,2025-12-27T19:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
7e28c9875-5d5d-ad3e-f6b1-24b714fa5af6,413385553,TIELONG63855-53-75%,CHN,GEAR,GEAR,23,2025-12-27T01:00:00Z,2025-12-29T18:00:00Z,True,True,False,False,0.5
181689480-0826-672a-9c64-84cb07329fdb,413289050,ZHENGSHENGFAZHAN,CHN,CARGO,CARGO,2,2025-12-27T00:00:00Z,2025-12-27T01:00:00Z,True,True,False,False,0.5
f0a89c1ec-c876-fe8e-9c50-1ce71754bbee,413703780,QIHANGXIANG,CHN,CARGO,CARGO,4,2025-12-28T00:00:00Z,2025-12-28T03:00:00Z,True,True,False,False,0.5
7d2481c43-335b-007a-7cd1-1b115692943a,413542420,YI FAN 78,CHN,CARGO,CARGO,5,2025-12-28T22:00:00Z,2025-12-29T02:00:00Z,True,True,False,False,0.5
ae3605ab7-7559-3461-19e5-d3b1caae3ed3,413268710,YONG XIN 17,CHN,OTHER,OTHER,4,2025-12-30T03:00:00Z,2025-12-30T06:00:00Z,True,True,False,False,0.5
385ca8105-5a25-e6fe-d1a6-c3efd9ba3d63,413568840,HANG   MAO   SHUN DA,CHN,CARGO,CARGO,3,2025-12-29T04:00:00Z,2025-12-29T06:00:00Z,True,True,False,False,0.5
ae8b1c3fb-b943-3318-f735-b831445f3c55,413187036,TIELONG61870-36-99%,CHN,GEAR,GEAR,25,2025-12-30T18:00:00Z,2026-01-01T22:00:00Z,True,True,False,False,0.5
aa9c3b941-1744-936b-4426-61a307b99c3a,413387180,BO SHENG 62,CHN,CARGO,CARGO,3,2025-12-30T21:00:00Z,2025-12-30T23:00:00Z,True,True,False,False,0.5
f6b32a0ff-f296-97e2-83a2-d8ca55b5e993,413377720,AN TONG SHAN TOU,CHN,CARGO,CARGO,6,2025-12-31T08:00:00Z,2025-12-31T13:00:00Z,True,True,False,False,0.5
5545841b3-3c83-2b67-b60d-9c8b87a2c6ee,413233740,XIN SHEN TONG 189,CHN,OTHER,OTHER,7,2025-12-27T21:00:00Z,2025-12-28T03:00:00Z,True,True,False,False,0.5
b6c988c2d-da46-c383-065a-561e99060167,413385550,TIELONG63855-50-96%,CHN,PASSENGER,PASSENGER,22,2025-12-27T02:00:00Z,2025-12-29T13:00:00Z,True,True,False,False,0.5
207c000f9-982f-893a-1820-2e3dbb934179,413595920,MIN PING YU 61668,CHN,FISHING,TRAWLERS,5,2025-12-28T19:00:00Z,2025-12-29T07:00:00Z,True,True,False,False,0.5
6b6641bc2-29d5-d243-8be7-8981620c866b,413440160,HUA LE 3,CHN,CARGO,CARGO,6,2025-12-30T11:00:00Z,2025-12-30T16:00:00Z,True,True,False,False,0.5
4bc89cf23-30a6-0ca4-e8d8-1f680c0f598c,413177937,TIELONG61779-37-85%,CHN,GEAR,GEAR,61,2025-12-27T00:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
d34dfc83c-c339-c6a5-b91f-02dd93558aca,413220940,FUJIUFUWEN,CHN,CARGO,CARGO,5,2025-12-28T05:00:00Z,2025-12-28T09:00:00Z,True,True,False,False,0.5
fc7bb6072-2f47-b480-8844-dd728ca4be3f,413221520,CHANG JING 9,CHN,OTHER,OTHER,4,2025-12-27T18:00:00Z,2025-12-27T21:00:00Z,True,True,False,False,0.5
2b76b72fe-ebe2-f868-7894-0ecb8f4e60f5,413454950,FEN JIN YUN GANG,CHN,CARGO,CARGO,5,2025-12-28T19:00:00Z,2025-12-28T23:00:00Z,True,True,False,False,0.5
2942bd9d2-2221-de14-93ca-53e1ddc1a160,413218010,JIN YU JIANG LONG,CHN,CARGO,CARGO,2,2025-12-27T18:00:00Z,2025-12-27T19:00:00Z,True,True,False,False,0.5
9fad405f8-8a79-b5e0-d5af-32262fe5b1a3,413233820,LING HANG 89,CHN,CARGO,CARGO,4,2026-01-01T18:00:00Z,2026-01-01T21:00:00Z,True,True,False,False,0.5
1e808bda7-7c3c-9e6d-4629-c52c5bc5420f,413288330,CHENG LANG 166,CHN,OTHER,OTHER,8,2025-12-28T15:00:00Z,2026-01-01T05:00:00Z,True,True,False,False,0.5
2e4057ffa-afaa-0a4d-c41c-0e77cd1831cb,412050607,,CHN,FISHING,SET_GILLNETS,8,2025-12-27T00:00:00Z,2025-12-29T05:00:00Z,True,False,False,True,0.5
97b89e842-273f-b555-3095-1a18b99b64bf,413235320,XIN HAN 31,CHN,OTHER,OTHER,4,2025-12-30T14:00:00Z,2025-12-30T17:00:00Z,True,True,False,False,0.5
20feec48d-d435-ec9e-57ce-8e487de4a9ca,413692990,TONG DA 86,CHN,OTHER,OTHER,4,2025-12-29T08:00:00Z,2025-12-29T11:00:00Z,True,True,False,False,0.5
c6a30fd8c-cadd-4a42-d655-c433bb01e50e,413447260,LI HUA 16,CHN,OTHER,OTHER,3,2025-12-30T11:00:00Z,2025-12-30T13:00:00Z,True,True,False,False,0.5
ab30d2b1a-a09b-2fc2-3889-68d20cb962c1,413377010,FU LONG 01 HAO,CHN,OTHER,OTHER,3,2026-01-01T08:00:00Z,2026-01-01T10:00:00Z,True,True,False,False,0.5
2b6f6cc64-4626-d8f1-af05-2b83b57fb831,412443336,,CHN,FISHING,FISHING,2,2025-12-27T14:00:00Z,2025-12-27T19:00:00Z,True,False,False,True,0.5
44a58c589-9d4f-5934-130f-6e0601fc3495,413332170,FENG CHENG 658,CHN,CARGO,CARGO,9,2025-12-27T04:00:00Z,2025-12-27T12:00:00Z,True,True,False,False,0.5
3a4b226f4-4ed7-3246-b0df-5e6e6cfde221,413439730,HONG DA 27,CHN,OTHER,OTHER,4,2025-12-30T10:00:00Z,2025-12-30T13:00:00Z,True,True,False,False,0.5
540abac5a-a383-0412-d934-243601919534,412432585,,CHN,FISHING,FISHING,1,2025-12-28T17:00:00Z,2025-12-28T17:00:00Z,True,False,False,True,0.5
32d655ad3-34f9-5544-8f7d-21bddb6c1857,413014180,MINLIANYU61418-4-71%,CHN,GEAR,GEAR,39,2025-12-27T01:00:00Z,2025-12-29T04:00:00Z,True,True,False,False,0.5
0ee3b31d8-8d6a-ee77-90b8-2747304c6904,413210930,ZHUO YUAN 88,CHN,OTHER,OTHER,6,2025-12-27T15:00:00Z,2025-12-27T20:00:00Z,True,True,False,False,0.5
ba2d32de7-72cb-d00e-7f64-3ecf3f13820b,413896585,DIAOYU68965-85-99%,CHN,GEAR,GEAR,28,2025-12-27T01:00:00Z,2025-12-30T01:00:00Z,True,True,False,False,0.5
81665eb88-8529-779b-df68-6cc80342c9df,413250390,FEI DA128,CHN,OTHER,OTHER,4,2025-12-29T08:00:00Z,2025-12-29T11:00:00Z,True,True,False,False,0.5
0ca7a5c5e-e91a-3a2e-7c88-9c94adfdef39,413457630,XIN MING ZHOU 70,CHN,CARGO,CARGO,5,2025-12-29T03:00:00Z,2025-12-29T07:00:00Z,True,True,False,False,0.5
342aa2584-409d-089f-8dad-4966021b5872,413470050,SHENG HANG HUA 5,CHN,OTHER,OTHER,4,2025-12-28T15:00:00Z,2025-12-28T18:00:00Z,True,True,False,False,0.5
aa77feb93-35c8-e560-bdfd-1189c1f54e9c,413537920,YAN ZHAN 228,CHN,OTHER,OTHER,3,2025-12-30T19:00:00Z,2025-12-30T21:00:00Z,True,True,False,False,0.5
31724bd48-8553-e6eb-7dd1-b7391f206e3c,413346490,REN JIAN XIA MEN,CHN,OTHER,OTHER,6,2025-12-28T19:00:00Z,2025-12-29T00:00:00Z,True,True,False,False,0.5
582f5f01a-a0c4-e03d-2dd5-29c3ba05f5b8,413251360,BAO RUI TONG,CHN,CARGO,CARGO,8,2026-01-01T11:00:00Z,2026-01-01T18:00:00Z,True,True,False,False,0.5
52619f8d2-2d40-6a7e-839d-dd1b4b081d7a,413665665,60815-16-99%,CHN,GEAR,GEAR,7,2025-12-27T16:00:00Z,2025-12-28T09:00:00Z,True,True,False,False,0.5
9e241bc13-3ec7-9d01-5416-e7f5a1b8d822,413390130,XING HANG YUAN,CHN,CARGO,CARGO,7,2025-12-29T00:00:00Z,2025-12-29T06:00:00Z,True,True,False,False,0.5
85911938e-e0d5-a0fc-e188-5b814e6c3a8e,413401270,JINFUHANG 69,CHN,CARGO,CARGO,2,2025-12-27T00:00:00Z,2025-12-27T01:00:00Z,True,True,False,False,0.5
9c12f5ef3-3edc-688d-ad66-369e13749556,413897903,TIELONG68979-48%,CHN,GEAR,GEAR,2,2026-01-01T12:00:00Z,2026-01-01T13:00:00Z,True,True,False,False,0.5
ebbecf49d-d168-8a3b-4545-6fd1141aa615,412003535,,CHN,FISHING,TRAWLERS,40,2025-12-27T09:00:00Z,2025-12-29T13:00:00Z,True,False,False,True,0.5
496af6312-2e70-98fe-de28-b599fd480db1,413224380,FEI DA 177,CHN,CARGO,CARGO,3,2025-12-30T06:00:00Z,2025-12-30T08:00:00Z,True,True,False,False,0.5
564d019db-ba16-311d-ac89-22e80efdbb92,412445095,,CHN,FISHING,TRAWLERS,72,2025-12-27T01:00:00Z,2025-12-30T07:00:00Z,True,False,False,True,0.5
322965806-606f-6e5a-c725-ca37cf11ce9d,413202490,AN JI 8,CHN,CARGO,CARGO,2,2025-12-30T16:00:00Z,2025-12-30T17:00:00Z,True,True,False,False,0.5
1eddb0d98-8451-0726-b271-37cbaed2f083,413699360,AN SHENG 19,CHN,CARGO,CARGO,6,2025-12-27T20:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
d9aa952c0-00bb-b5f6-92c6-3dd3b23f07ee,412441932,,CHN,FISHING,FIXED_GEAR,4,2025-12-29T23:00:00Z,2025-12-30T02:00:00Z,True,False,False,True,0.5
0e510e426-6eaf-8a06-8c1c-368535c83dcc,413608870,HE XING XIN DA,CHN,OTHER,OTHER,7,2025-12-30T03:00:00Z,2025-12-30T09:00:00Z,True,True,False,False,0.5
53777e3a6-6f98-5985-b2a1-7496cef2c57b,413539250,HENG SHENG 68,CHN,CARGO,CARGO,4,2025-12-29T05:00:00Z,2025-12-29T08:00:00Z,True,True,False,False,0.5
8b8e3a933-34a0-11aa-783d-ba5a2d2a5564,413266660,HANG AN SHUN,CHN,CARGO,CARGO,3,2025-12-30T04:00:00Z,2025-12-30T06:00:00Z,True,True,False,False,0.5
8e7d5aab0-032c-e644-b686-3f69ae830626,413193000,BEI HAI HOU WANG,CHN,OTHER,OTHER,5,2025-12-30T13:00:00Z,2025-12-30T17:00:00Z,True,True,False,False,0.5
eeea55fdb-bd84-dc5d-f0f3-f8c39b1bab4c,413219860,ZHONG GU 6,CHN,OTHER,OTHER,6,2025-12-30T19:00:00Z,2025-12-31T00:00:00Z,True,True,False,False,0.5
